ci95_high,ci95_low,mean,method,metric,n,observation_dropout,std
0.02154916281,0.01500369068,0.01821738501,exact_direct,edge_brier,32,0.5,0.009688154977
0.7878224725,0.7590956978,0.7736863768,exact_direct,urgency_brier,32,0.5,0.04169338425
0.6946104724,0.6556819877,0.6750779049,source_union,asset_f1,32,0.5,0.05689563373
0,0,0,source_union,entity_f1,32,0.5,0
0.8410510649,0.8093842085,0.8251449415,source_union,b3_f1,32,0.5,0.04638606803
0.233468841,0.1756464175,0.2036473726,source_union,edge_f1,32,0.5,0.08592187664
0.361328125,0.291015625,0.326171875,source_union,critical_miss_rate,32,0.5,0.1037774145
0.723834257,0.6410029372,0.6847042907,source_union,ndcg_at_5_primary,32,0.5,0.1239303805
0.7696716729,0.7114615999,0.7414127851,source_union,ndcg_at_10_primary,32,0.5,0.08531561716
-0.008277960426,-0.1085616604,-0.05937803293,source_union,kendall_tau_b_primary,32,0.5,0.1442391957
0.02519921791,0.0181093941,0.02158606841,source_union,edge_brier,32,0.5,0.01055618423
0.7882523235,0.7598954498,0.7744407937,source_union,urgency_brier,32,0.5,0.04122792353
